date,year,album,song,artist,danceability,energy,speechiness,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5/27/22,2022,#NAME?,Sandman,Ed Sheeran,0.822,0.3,0.0673,-8.034,0.882,9.15E-05,0.0665,0.734,125.951,259333
5/27/22,2022,#NAME?,Be Right Now,Ed Sheeran,0.501,0.684,0.0566,-6.706,0.00494,0.000478,0.0524,0.442,131.952,211080
5/27/22,2022,#NAME?,Afterglow,Ed Sheeran,0.641,0.324,0.0299,-5.851,0.698,0,0.328,0.273,110.184,185486
5/27/22,2022,#NAME?,One Life,Ed Sheeran,0.573,0.593,0.0299,-7.225,0.114,2.65E-06,0.122,0.425,159.978,231546
5/27/22,2022,#NAME?,Penguins,Ed Sheeran,0.709,0.324,0.0444,-10.975,0.79,0,0.1,0.47,99.906,248866
5/27/22,2022,#NAME?,I Will Remember You,Ed Sheeran,0.743,0.807,0.0538,-5.917,0.404,5.49E-06,0.0723,0.721,145.01,214493
5/27/22,2022,#NAME?,Welcome To The World,Ed Sheeran,0.334,0.307,0.033,-8.522,0.818,5.55E-05,0.362,0.426,169.53,176813
5/27/22,2022,#NAME?,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,0.528,0.309,0.0329,-7.398,0.924,2.10E-06,0.282,0.307,133.83,185422
5/27/22,2022,#NAME?,2step (feat. Lil Baby),Ed Sheeran,0.693,0.643,0.0828,-5.867,0.138,0,0.108,0.477,95.055,163449
5/27/22,2022,#NAME?,Bad Habits (feat. Bring Me The Horizon),Ed Sheeran,0.59,0.849,0.0792,-4.691,0.0305,0,0.11,0.178,131.018,250763
5/27/22,2022,#NAME?,Peru,Ed Sheeran,0.956,0.417,0.0926,-7.892,0.572,0.00071,0.0782,0.714,108.015,187111
10/29/21,2021,=,Tides,Ed Sheeran,0.631,0.825,0.0433,-3.971,0.0167,0,0.122,0.427,129.942,195760
10/29/21,2021,=,Shivers,Ed Sheeran,0.788,0.859,0.0856,-2.724,0.281,0,0.0424,0.822,141.02,207853
10/29/21,2021,=,First Times,Ed Sheeran,0.587,0.267,0.0349,-9.206,0.84,0,0.121,0.352,98.845,185853
10/29/21,2021,=,Bad Habits,Ed Sheeran,0.807,0.893,0.0347,-3.745,0.0451,2.79E-05,0.366,0.537,126.011,230746
10/29/21,2021,=,Overpass Graffiti,Ed Sheeran,0.52,0.849,0.186,-3.794,0.00253,0,0.119,0.774,175.908,236906
10/29/21,2021,=,The Joker And The Queen,Ed Sheeran,0.567,0.211,0.0315,-9.975,0.952,5.24E-05,0.275,0.289,134.019,185586
